Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Asian,2015,4 year August,12905,11383,88.2,11087,85.9,97.4,6261,48.5,55.0,4826,37.4,42.4,296,2.3,2.6,906,7.0,530,4.1,29,0.2,56,0.4
Asian,2014,4 year August,13123,11567,88.1,11293,86.1,97.6,6572,50.1,56.8,4721,36.0,40.8,274,2.1,2.4,1002,7.6,488,3.7,32,0.2,34,0.3
Asian,2013,4 year August,12480,10926,87.5,10724,85.9,98.2,6147,49.3,56.3,4577,36.7,41.9,202,1.6,1.8,992,7.9,501,4.0,24,0.2,34,0.3
Asian,2012,4 year August,12480,10707,85.8,10525,84.3,98.3,5871,47.0,54.8,4654,37.3,43.5,182,1.5,1.7,1123,9.0,576,4.6,38,0.3,30,0.2
Asian,2011,4 year August,12834,10910,85.0,10774,83.9,98.8,6042,47.1,55.4,4732,36.9,43.4,136,1.1,1.2,1275,9.9,589,4.6,36,0.3,22,0.2
Asian,2010,4 year August,12967,10706,82.6,10559,81.4,98.6,5927,45.7,55.4,4632,35.7,43.3,147,1.1,1.4,1428,11.0,756,5.8,46,0.4,26,0.2
Asian,2009,4 year August,13126,10648,81.1,10505,80.0,98.7,5923,45.1,55.6,4582,34.9,43.0,143,1.1,1.3,1552,11.8,832,6.3,52,0.4,39,0.3
Asian,2008,4 year August,12514,10272,82.1,10132,81.0,98.6,5720,45.7,55.7,4412,35.3,43.0,140,1.1,1.4,1453,11.6,698,5.6,51,0.4,37,0.3
Asian,2007,4 year August,11967,9925,82.9,9324,77.9,93.9,5439,45.4,54.8,3885,32.5,39.1,601,5.0,6.1,1218,10.2,711,5.9,41,0.3,68,0.6
Asian,2006,4 year August,11368,9364,82.4,8603,75.7,91.9,5146,45.3,55.0,3457,30.4,36.9,761,6.7,8.1,1163,10.2,706,6.2,43,0.4,90,0.8
Asian,2005,4 year August,11075,8876,80.1,7867,71.0,88.6,4903,44.3,55.2,2964,26.8,33.4,1009,9.1,11.4,1346,12.2,656,5.9,47,0.4,150,1.4
Asian,2004,4 year August,10897,8455,77.6,7414,68.0,87.7,,,,,,,1043,9.6,12.3,1566,14.4,808,7.4,,,,
Asian,2015,4 year June,12905,11031,85.5,10781,83.5,97.7,6214,48.2,56.3,4567,35.4,41.4,250,1.9,2.3,1256,9.7,532,4.1,29,0.2,56,0.4
Asian,2014,4 year June,13123,11208,85.4,10981,83.7,98.0,6522,49.7,58.2,4459,34.0,39.8,227,1.7,2.0,1361,10.4,488,3.7,32,0.2,34,0.3
Asian,2013,4 year June,12480,10607,85.0,10432,83.6,98.4,6106,48.9,57.6,4326,34.7,40.8,175,1.4,1.6,1310,10.5,501,4.0,24,0.2,34,0.3
Asian,2012,4 year June,12480,10424,83.5,10270,82.3,98.5,5837,46.8,56.0,4433,35.5,42.5,154,1.2,1.5,1405,11.3,576,4.6,39,0.3,30,0.2
Asian,2011,4 year June,12834,10583,82.5,10466,81.5,98.9,5997,46.7,56.7,4469,34.8,42.2,117,0.9,1.1,1602,12.5,589,4.6,36,0.3,22,0.2
Asian,2010,4 year June,12967,10300,79.4,10179,78.5,98.8,5866,45.2,57.0,4313,33.3,41.9,121,0.9,1.2,1834,14.1,756,5.8,46,0.4,26,0.2
Asian,2009,4 year June,13126,10160,77.4,10039,76.5,98.8,5849,44.6,57.6,4190,31.9,41.2,121,0.9,1.2,2034,15.5,835,6.4,55,0.4,39,0.3
Asian,2008,4 year June,12514,9900,79.1,9774,78.1,98.7,5685,45.4,57.4,4089,32.7,41.3,126,1.0,1.3,1821,14.6,700,5.6,53,0.4,37,0.3
Asian,2007,4 year June,11967,9494,79.3,9006,75.3,94.9,5384,45.0,56.7,3622,30.3,38.2,488,4.1,5.1,1642,13.7,716,6.0,45,0.4,67,0.6
Asian,2006,4 year June,11368,8969,78.9,8337,73.3,93.0,5083,44.7,56.7,3254,28.6,36.3,632,5.6,7.0,1554,13.7,710,6.2,43,0.4,90,0.8
Asian,2005,4 year June,11075,8511,76.8,7640,69.0,89.8,4850,43.8,57.0,2790,25.2,32.8,871,7.9,10.2,1711,15.4,656,5.9,47,0.4,150,1.4
Asian,2004,4 year June,10897,8075,74.1,7188,66.0,89.0,4729,43.4,58.6,2459,22.6,30.5,887,8.1,11.0,1946,17.9,808,7.4,56,0.5,11,0.1
Asian,2003,4 year June,10403,7467,71.8,6568,63.1,88.0,4274,41.1,57.2,2294,22.1,30.7,899,8.6,12.0,1867,17.9,999,9.6,33,0.3,26,0.2
Asian,2002,4 year June,10554,7082,67.1,6062,57.4,85.6,3601,34.1,50.8,2461,23.3,34.8,1025,9.7,14.5,2014,19.1,1257,11.9,36,0.3,90,0.9
Asian,2001,4 year June,9807,6501,66.3,5261,53.6,80.9,3277,33.4,50.4,1984,20.2,30.5,1245,12.7,19.2,1934,19.7,1281,13.1,69,0.7,17,0.2
Asian,2014,5 year August,13087,11883,90.8,11545,88.2,97.2,6596,50.4,55.5,4949,37.8,41.6,338,2.6,2.8,308,2.4,765,5.8,77,0.6,54,0.4
Asian,2013,5 year August,12446,11142,89.5,10897,87.6,97.8,6094,49.0,54.7,4803,38.6,43.1,245,2.0,2.2,420,3.4,684,5.5,151,1.2,47,0.4
Asian,2012,5 year August,12441,11064,88.9,10840,87.1,98.0,5884,47.3,53.2,4956,39.8,44.8,224,1.8,2.0,464,3.7,772,6.2,101,0.8,37,0.3
Asian,2011,5 year August,12811,11312,88.3,11129,86.9,98.4,6056,47.3,53.5,5073,39.6,44.8,183,1.4,1.6,478,3.7,893,7.0,93,0.7,32,0.2
Asian,2010,5 year August,12904,11159,86.5,10961,84.9,98.2,5957,46.2,53.4,5004,38.8,44.8,198,1.5,1.8,578,4.5,1043,8.1,84,0.7,36,0.3
Asian,2009,5 year August,13105,11134,85.0,10956,83.6,98.4,5958,45.5,53.5,4998,38.1,44.9,178,1.4,1.6,644,4.9,1203,9.2,71,0.5,48,0.4
Asian,2008,5 year August,12480,10726,85.9,10560,84.6,98.5,5759,46.1,53.7,4801,38.5,44.8,166,1.3,1.5,600,4.8,982,7.9,117,0.9,50,0.4
Asian,2007,5 year August,11880,10297,86.7,9536,80.3,92.6,5435,45.7,52.8,4101,34.5,39.8,761,6.4,7.4,342,2.9,1064,9.0,96,0.8,75,0.6
Asian,2006,5 year August,11445,9851,86.1,8921,77.9,90.6,5188,45.3,52.7,3733,32.6,37.9,930,8.1,9.4,390,3.4,1001,8.7,109,1.0,92,0.8
Asian,2014,5 year June,13087,11834,90.4,11510,87.9,97.3,6592,50.4,55.7,4918,37.6,41.6,324,2.5,2.7,337,2.6,785,6.0,77,0.6,54,0.4
Asian,2013,5 year June,12446,11088,89.1,10852,87.2,97.9,6093,49.0,55.0,4759,38.2,42.9,236,1.9,2.1,468,3.8,690,5.5,151,1.2,47,0.4
Asian,2012,5 year June,12441,11004,88.4,10791,86.7,98.1,5884,47.3,53.5,4907,39.4,44.6,213,1.7,1.9,521,4.2,775,6.2,101,0.8,37,0.3
Asian,2011,5 year June,12811,11253,87.8,11075,86.4,98.4,6055,47.3,53.8,5020,39.2,44.6,178,1.4,1.6,537,4.2,893,7.0,93,0.7,32,0.2
Asian,2010,5 year June,12904,11093,86.0,10900,84.5,98.3,5955,46.1,53.7,4945,38.3,44.6,193,1.5,1.7,637,4.9,1050,8.1,84,0.7,36,0.3
Asian,2009,5 year June,13105,11049,84.3,10874,83.0,98.4,5955,45.4,53.9,4919,37.5,44.5,175,1.3,1.6,727,5.5,1205,9.2,71,0.5,48,0.4
Asian,2008,5 year June,12480,10628,85.2,10465,83.9,98.5,5752,46.1,54.1,4713,37.8,44.3,163,1.3,1.5,690,5.5,990,7.9,117,0.9,50,0.4
Asian,2007,5 year June,11880,10220,86.0,9494,79.9,92.9,5434,45.7,53.2,4060,34.2,39.7,726,6.1,7.1,400,3.4,1081,9.1,98,0.8,75,0.6
Asian,2006,5 year June,11445,9785,85.5,8880,77.6,90.8,5188,45.3,53.0,3692,32.3,37.7,905,7.9,9.2,441,3.9,1018,8.9,109,1.0,91,0.8
Asian,2005,5 year June,11124,9403,84.5,8200,73.7,87.2,4991,44.9,53.1,3209,28.8,34.1,1203,10.8,12.8,453,4.1,1026,9.2,103,0.9,136,1.2
Asian,2004,5 year June,10891,8999,82.6,7719,70.9,85.8,4860,44.6,54.0,2859,26.3,31.8,1280,11.8,14.2,537,4.9,1100,10.1,105,1.0,148,1.4
Asian,2003,5 year June,10403,8372,80.5,7062,67.9,84.4,4410,42.4,52.7,2652,25.5,31.7,1310,12.6,15.6,562,5.4,1340,12.9,90,0.9,28,0.3
Asian,2002,5 year June,10554,8054,76.3,6554,62.1,81.4,3743,35.5,46.5,2811,26.6,34.9,1521,14.4,18.9,627,5.9,1633,15.5,74,0.7,90,0.9
Asian,2001,5 year June,9807,7377,75.2,5618,57.3,76.2,3369,34.4,45.7,2249,22.9,30.5,1767,18.0,24.0,582,5.9,1705,17.4,115,1.2,17,0.2
Asian,2013,6 year June,12447,11224,90.2,10963,88.1,97.7,6097,49.0,54.3,4866,39.1,43.4,261,2.1,2.3,253,2.0,759,6.1,158,1.3,51,0.4
Asian,2012,6 year June,12426,11140,89.7,10897,87.7,97.8,5886,47.4,52.8,5011,40.3,45.0,243,2.0,2.2,277,2.2,837,6.7,107,0.9,44,0.4
Asian,2011,6 year June,12794,11392,89.0,11206,87.6,98.4,6059,47.4,53.2,5147,40.2,45.2,186,1.5,1.6,322,2.5,942,7.4,104,0.8,32,0.3
Asian,2010,6 year June,12890,11281,87.5,11069,85.9,98.1,5959,46.2,52.8,5110,39.6,45.3,212,1.6,1.9,347,2.7,1131,8.8,87,0.7,40,0.3
Asian,2009,6 year June,13107,11272,86.0,11077,84.5,98.3,5960,45.5,52.9,5117,39.0,45.4,195,1.5,1.7,418,3.2,1281,9.8,79,0.6,54,0.4
Asian,2008,6 year June,12483,10847,86.9,10670,85.5,98.4,5761,46.2,53.1,4909,39.3,45.3,177,1.4,1.6,335,2.7,1076,8.6,170,1.4,48,0.4
Asian,2007,6 year June,11925,10443,87.6,9653,80.9,92.4,5464,45.8,52.3,4189,35.1,40.1,790,6.6,7.6,192,1.6,1099,9.2,109,0.9,75,0.6
Asian,2006,6 year June,11371,9976,87.7,8996,79.1,90.2,5195,45.7,52.1,3801,33.4,38.1,980,8.6,9.8,129,1.1,1063,9.3,109,1.0,88,0.8
Asian,2005,6 year June,11094,9592,86.5,8299,74.8,86.5,4997,45.0,52.1,3302,29.8,34.4,1293,11.7,13.5,194,1.7,1066,9.6,106,1.0,132,1.2
Asian,2004,6 year June,10884,9221,84.7,7829,71.9,84.9,4864,44.7,52.7,2965,27.2,32.2,1392,12.8,15.1,293,2.7,1191,10.9,105,1.0,69,0.6
Asian,2003,6 year June,10408,8569,82.3,7150,68.7,83.4,4420,42.5,51.6,2730,26.2,31.9,1419,13.6,16.6,223,2.1,1434,13.8,90,0.9,81,0.8
Asian,2002,6 year June,10554,8260,78.3,6632,62.8,80.3,3754,35.6,45.4,2878,27.3,34.8,1649,15.6,20.0,278,2.6,1765,16.7,85,0.8,90,0.9
Asian,2001,6 year June,9807,7599,77.5,5691,58.0,74.9,3380,34.5,44.5,2311,23.6,30.4,1921,19.6,25.3,202,2.1,1856,18.9,122,1.2,17,0.2
Black,2015,4 year August,19569,14423,73.7,12521,64.0,86.8,1607,8.2,11.1,10914,55.8,75.7,1902,9.7,13.2,3212,16.4,1612,8.2,112,0.6,208,1.1
Black,2014,4 year August,20292,14627,72.1,12933,63.7,88.4,1623,8.0,11.1,11310,55.7,77.3,1694,8.3,11.6,3767,18.6,1542,7.6,136,0.7,214,1.1
Black,2013,4 year August,20539,14375,70.0,12916,62.9,89.9,1678,8.2,11.7,11238,54.7,78.2,1459,7.1,10.1,4133,20.1,1618,7.9,150,0.7,208,1.0
Black,2012,4 year August,21712,14916,68.7,13543,62.4,90.8,1602,7.4,10.7,11941,55.0,80.1,1373,6.3,9.2,4465,20.6,1897,8.7,174,0.8,166,0.8
Black,2011,4 year August,22062,14437,65.4,13281,60.2,92.0,1538,7.0,10.7,11743,53.2,81.3,1156,5.2,8.0,5037,22.8,2056,9.3,294,1.3,157,0.7
Black,2010,4 year August,22588,14408,63.8,13192,58.4,91.6,1583,7.0,11.0,11609,51.4,80.6,1216,5.4,8.4,5402,23.9,2163,9.6,336,1.5,191,0.8
Black,2009,4 year August,24463,14966,61.2,13922,56.9,93.0,1626,6.6,10.9,12296,50.3,82.2,1044,4.3,7.0,6049,24.7,2674,10.9,406,1.7,256,1.0
Black,2008,4 year August,25736,15391,59.8,14384,55.9,93.5,1688,6.6,11.0,12696,49.3,82.5,1007,3.9,6.5,6401,24.9,3072,11.9,494,1.9,320,1.2
Black,2007,4 year August,26332,15896,60.4,12760,48.5,80.3,1825,6.9,11.5,10935,41.5,68.8,3136,11.9,19.7,6035,22.9,3367,12.8,424,1.6,555,2.1
Black,2006,4 year August,26618,16124,60.6,11695,43.9,72.5,1984,7.5,12.3,9711,36.5,60.2,4429,16.6,27.5,5881,22.1,3369,12.7,528,2.0,699,2.6
Black,2005,4 year August,26634,15398,57.8,10336,38.8,67.1,1946,7.3,12.6,8390,31.5,54.5,5062,19.0,32.9,6681,25.1,3190,12.0,619,2.3,746,2.8
Black,2004,4 year August,25791,14428,55.9,8878,34.4,61.5,,,,,,,5551,21.5,38.5,7154,27.7,3389,13.1,,,,
Black,2015,4 year June,19569,13631,69.7,11952,61.1,87.7,1600,8.2,11.7,10352,52.9,75.9,1679,8.6,12.3,3988,20.4,1628,8.3,112,0.6,208,1.1
Black,2014,4 year June,20292,13890,68.5,12406,61.1,89.3,1620,8.0,11.7,10786,53.2,77.7,1484,7.3,10.7,4504,22.2,1542,7.6,136,0.7,214,1.1
Black,2013,4 year June,20539,13656,66.5,12379,60.3,90.6,1668,8.1,12.2,10711,52.1,78.4,1277,6.2,9.4,4846,23.6,1618,7.9,156,0.8,208,1.0
Black,2012,4 year June,21712,14169,65.3,12953,59.7,91.4,1597,7.4,11.3,11356,52.3,80.1,1216,5.6,8.6,5208,24.0,1897,8.7,176,0.8,166,0.8
Black,2011,4 year June,22062,13603,61.7,12618,57.2,92.8,1530,6.9,11.2,11088,50.3,81.5,985,4.5,7.2,5866,26.6,2056,9.3,299,1.4,157,0.7
Black,2010,4 year June,22588,13292,58.8,12260,54.3,92.2,1565,6.9,11.8,10695,47.3,80.5,1032,4.6,7.8,6513,28.8,2163,9.6,340,1.5,191,0.8
Black,2009,4 year June,24463,13689,56.0,12839,52.5,93.8,1618,6.6,11.8,11221,45.9,82.0,850,3.5,6.2,7299,29.8,2676,10.9,431,1.8,256,1.0
Black,2008,4 year June,25736,14152,55.0,13304,51.7,94.0,1679,6.5,11.9,11625,45.2,82.1,848,3.3,6.0,7607,29.6,3087,12.0,512,2.0,320,1.2
Black,2007,4 year June,26332,14570,55.3,12084,45.9,82.9,1809,6.9,12.4,10275,39.0,70.5,2486,9.4,17.1,7307,27.7,3412,13.0,450,1.7,534,2.0
Black,2006,4 year June,26618,14872,55.9,11136,41.8,74.9,1971,7.4,13.3,9165,34.4,61.6,3736,14.0,25.1,7112,26.7,3390,12.7,528,2.0,699,2.6
Black,2005,4 year June,26634,14346,53.9,9943,37.3,69.3,1931,7.3,13.5,8012,30.1,55.8,4403,16.5,30.7,7732,29.0,3190,12.0,620,2.3,746,2.8
Black,2004,4 year June,25791,13258,51.4,8460,32.8,63.8,2000,7.8,15.1,6460,25.0,48.7,4798,18.6,36.2,8323,32.3,3390,13.1,647,2.5,170,0.7
Black,2003,4 year June,25579,12220,47.8,7409,29.0,60.6,1784,7.0,14.6,5625,22.0,46.0,4811,18.8,39.4,8574,33.5,3949,15.4,510,2.0,279,1.1
Black,2002,4 year June,25676,11012,42.9,6413,25.0,58.2,1287,5.0,11.7,5126,20.0,46.5,4616,18.0,41.9,8777,34.2,4786,18.6,467,1.8,500,1.9
Black,2001,4 year June,26107,10477,40.1,5481,21.0,52.3,1308,5.0,12.5,4173,16.0,39.8,5000,19.2,47.7,8750,33.5,5956,22.8,804,3.1,116,0.4
Black,2014,5 year August,20283,15754,77.7,13632,67.2,86.5,1626,8.0,10.3,12006,59.2,76.2,2122,10.5,13.5,1342,6.6,2618,12.9,324,1.6,242,1.2
Black,2013,5 year August,20340,15559,76.5,13653,67.1,87.7,1679,8.3,10.8,11974,58.9,77.0,1906,9.4,12.3,1770,8.7,2398,11.8,370,1.8,234,1.2
Black,2012,5 year August,21641,16224,75.0,14463,66.8,89.1,1604,7.4,9.9,12859,59.4,79.3,1761,8.1,10.9,2019,9.3,2702,12.5,410,1.9,195,0.9
Black,2011,5 year August,22042,15982,72.5,14456,65.6,90.5,1543,7.0,9.7,12913,58.6,80.8,1526,6.9,9.5,2160,9.8,3097,14.1,498,2.3,198,0.9
Black,2010,5 year August,22414,15962,71.2,14402,64.3,90.2,1585,7.1,9.9,12817,57.2,80.3,1560,7.0,9.8,2415,10.8,3193,14.2,497,2.2,234,1.0
Black,2009,5 year August,24303,16653,68.5,15255,62.8,91.6,1627,6.7,9.8,13628,56.1,81.8,1398,5.8,8.4,2868,11.8,3811,15.7,525,2.2,305,1.3
Black,2008,5 year August,25576,17006,66.5,15675,61.3,92.2,1690,6.6,9.9,13985,54.7,82.2,1331,5.2,7.8,2966,11.6,4272,16.7,876,3.4,346,1.4
Black,2007,5 year August,26183,17474,66.7,13452,51.4,77.0,1823,7.0,10.4,11629,44.4,66.6,4022,15.4,23.0,2044,7.8,5231,20.0,833,3.2,544,2.1
Black,2006,5 year August,26903,17905,66.6,12348,45.9,69.0,1990,7.4,11.1,10358,38.5,57.8,5557,20.7,31.0,2286,8.5,5090,18.9,921,3.4,661,2.5
Black,2014,5 year June,20283,15597,76.9,13548,66.8,86.9,1625,8.0,10.4,11923,58.8,76.4,2049,10.1,13.1,1453,7.2,2664,13.1,324,1.6,242,1.2
Black,2013,5 year June,20340,15391,75.7,13573,66.7,88.2,1679,8.3,10.9,11894,58.5,77.3,1818,8.9,11.8,1937,9.5,2398,11.8,371,1.8,234,1.2
Black,2012,5 year June,21641,16030,74.1,14350,66.3,89.5,1604,7.4,10.0,12746,58.9,79.5,1680,7.8,10.5,2205,10.2,2709,12.5,410,1.9,195,0.9
Black,2011,5 year June,22042,15788,71.6,14311,64.9,90.6,1543,7.0,9.8,12768,57.9,80.9,1477,6.7,9.4,2345,10.6,3102,14.1,499,2.3,198,0.9
Black,2010,5 year June,22414,15758,70.3,14250,63.6,90.4,1585,7.1,10.1,12665,56.5,80.4,1508,6.7,9.6,2608,11.6,3202,14.3,499,2.2,234,1.0
Black,2009,5 year June,24303,16327,67.2,15004,61.7,91.9,1626,6.7,10.0,13378,55.0,81.9,1323,5.4,8.1,3173,13.1,3825,15.7,531,2.2,305,1.3
Black,2008,5 year June,25576,16665,65.2,15405,60.2,92.4,1690,6.6,10.1,13715,53.6,82.3,1260,4.9,7.6,3264,12.8,4304,16.8,884,3.5,346,1.4
Black,2007,5 year June,26183,17212,65.7,13358,51.0,77.6,1823,7.0,10.6,11535,44.1,67.0,3854,14.7,22.4,2243,8.6,5290,20.2,837,3.2,544,2.1
Black,2006,5 year June,26903,17591,65.4,12257,45.6,69.7,1990,7.4,11.3,10267,38.2,58.4,5334,19.8,30.3,2527,9.4,5181,19.3,921,3.4,643,2.4
Black,2005,5 year June,26950,16991,63.0,10890,40.4,64.1,1961,7.3,11.5,8929,33.1,52.6,6101,22.6,35.9,2730,10.1,5386,20.0,964,3.6,849,3.2
Black,2004,5 year June,26051,16053,61.6,9317,35.8,58.0,2022,7.8,12.6,7295,28.0,45.4,6736,25.9,42.0,3137,12.0,4879,18.7,969,3.7,1009,3.9
Black,2003,5 year June,25579,14886,58.2,8142,31.8,54.7,1805,7.1,12.1,6337,24.8,42.6,6744,26.4,45.3,3646,14.3,5673,22.2,950,3.7,375,1.5
Black,2002,5 year June,25676,13662,53.2,7070,27.5,51.7,1328,5.2,9.7,5742,22.4,42.0,6699,26.1,49.0,3843,15.0,6678,26.0,845,3.3,506,2.0
Black,2001,5 year June,26107,12990,49.8,5941,22.8,45.7,1332,5.1,10.3,4609,17.7,35.5,7065,27.1,54.4,3734,14.3,8058,30.9,1180,4.5,116,0.4
Black,2013,6 year June,20348,15971,78.5,13892,68.3,87.0,1680,8.3,10.5,12212,60.0,76.5,2079,10.2,13.0,992,4.9,2761,13.6,393,1.9,225,1.1
Black,2012,6 year June,21492,16648,77.5,14721,68.5,88.4,1604,7.5,9.6,13117,61.0,78.8,1927,9.0,11.6,1185,5.5,2989,13.9,446,2.1,202,0.9
Black,2011,6 year June,22004,16476,74.9,14786,67.2,89.7,1543,7.0,9.4,13243,60.2,80.4,1690,7.7,10.3,1329,6.0,3357,15.3,536,2.4,218,1.0
Black,2010,6 year June,22395,16513,73.7,14793,66.1,89.6,1585,7.1,9.6,13208,59.0,80.0,1720,7.7,10.4,1473,6.6,3511,15.7,533,2.4,227,1.0
Black,2009,6 year June,24291,17327,71.3,15747,64.8,90.9,1627,6.7,9.4,14120,58.1,81.5,1580,6.5,9.1,1698,7.0,4241,17.5,561,2.3,310,1.3
Black,2008,6 year June,25507,17641,69.2,16148,63.3,91.5,1690,6.6,9.6,14458,56.7,82.0,1493,5.9,8.5,1643,6.4,4621,18.1,1171,4.6,329,1.3
Black,2007,6 year June,26101,18000,69.0,13681,52.4,76.0,1828,7.0,10.2,11853,45.4,65.8,4319,16.5,24.0,1127,4.3,5461,20.9,933,3.6,497,1.9
